time,open,close,high,low
2021-08-18 11:00:00+00:00,150.56,150.31,150.65,150.25
2021-08-18 12:00:00+00:00,150.31,149.98,150.39,149.87
2021-08-18 13:00:00+00:00,149.97,149.75,150.71,149.41
2021-08-18 14:00:00+00:00,149.75,149.27,150.44,149.14
2021-08-18 15:00:00+00:00,149.28,148.46,149.28,148.18
2021-08-18 16:00:00+00:00,148.45,148.66,148.92,148.35
2021-08-18 17:00:00+00:00,148.66,148.17,148.7,147.91
2021-08-18 18:00:00+00:00,148.17,147.98,148.68,147.72
2021-08-18 19:00:00+00:00,147.98,146.36,147.98,146.15
2021-08-18 20:00:00+00:00,146.36,146.24,146.41,145.94
2021-08-18 21:00:00+00:00,146.25,146.35,146.54,146.1
2021-08-18 22:00:00+00:00,146.34,146.35,146.46,146.3
2021-08-19 04:00:00+00:00,146.9,146.99,147.07,146.23
2021-08-19 05:00:00+00:00,147.0,146.75,147.0,146.37
2021-08-19 06:00:00+00:00,146.89,146.0,146.99,145.71
2021-08-19 07:00:00+00:00,146.0,145.64,146.0,145.52
2021-08-19 08:00:00+00:00,145.66,144.62,145.66,144.1
2021-08-19 09:00:00+00:00,144.62,145.35,145.48,144.45
2021-08-19 10:00:00+00:00,145.35,145.06,145.59,145.04
2021-08-19 11:00:00+00:00,145.06,144.75,145.28,144.56
2021-08-19 12:00:00+00:00,144.77,144.7,145.48,144.65
2021-08-19 13:00:00+00:00,144.69,145.11,146.29,144.5
2021-08-19 14:00:00+00:00,145.1,146.38,146.51,145.1
2021-08-19 15:00:00+00:00,146.38,147.62,147.67,146.19
2021-08-19 16:00:00+00:00,147.62,147.63,148.0,147.23
2021-08-19 17:00:00+00:00,147.63,146.81,147.75,146.71
2021-08-19 18:00:00+00:00,146.81,146.84,146.95,145.84
2021-08-19 19:00:00+00:00,146.83,146.67,147.29,146.35
2021-08-19 20:00:00+00:00,146.67,146.68,146.85,146.51
2021-08-19 21:00:00+00:00,146.68,146.68,146.74,146.65
2021-08-19 22:00:00+00:00,146.69,146.64,146.75,146.21
2021-08-20 04:00:00+00:00,146.61,146.83,147.0,146.51
2021-08-20 05:00:00+00:00,146.82,146.72,146.98,146.4
2021-08-20 06:00:00+00:00,146.72,146.38,146.75,146.2
2021-08-20 07:00:00+00:00,146.3,145.99,146.57,145.99
2021-08-20 08:00:00+00:00,146.0,146.23,146.39,145.9
2021-08-20 09:00:00+00:00,146.22,146.39,146.54,146.07
2021-08-20 10:00:00+00:00,146.42,146.49,146.49,146.25
2021-08-20 11:00:00+00:00,146.34,146.5,146.65,146.13
2021-08-20 12:00:00+00:00,146.5,147.35,147.39,146.5
2021-08-20 13:00:00+00:00,147.35,147.49,147.93,146.78
2021-08-20 14:00:00+00:00,147.5,147.88,148.5,147.34
2021-08-20 15:00:00+00:00,147.87,147.35,148.04,147.12
2021-08-20 16:00:00+00:00,147.34,147.9,148.07,147.24
2021-08-20 17:00:00+00:00,147.92,147.74,148.02,147.55
2021-08-20 18:00:00+00:00,147.74,147.96,147.96,147.57
2021-08-20 19:00:00+00:00,147.96,148.19,148.29,147.81
2021-08-20 20:00:00+00:00,148.19,148.19,148.26,148.07
2021-08-20 21:00:00+00:00,148.18,148.23,148.28,148.12
2021-08-20 22:00:00+00:00,148.13,148.2,148.4,148.12
2021-08-23 04:00:00+00:00,148.4,149.1,149.18,148.26
2021-08-23 05:00:00+00:00,149.01,148.88,149.1,148.5
2021-08-23 06:00:00+00:00,148.88,148.7,148.98,148.54
2021-08-23 07:00:00+00:00,148.68,148.27,149.0,148.19
2021-08-23 08:00:00+00:00,148.27,148.8,148.82,148.27
2021-08-23 09:00:00+00:00,148.8,148.51,148.8,148.5
2021-08-23 10:00:00+00:00,148.51,148.46,148.57,148.33
2021-08-23 11:00:00+00:00,148.57,148.66,148.79,148.47
2021-08-23 12:00:00+00:00,148.69,148.5,148.69,148.35
2021-08-23 13:00:00+00:00,148.49,148.64,148.81,147.89
2021-08-23 14:00:00+00:00,148.65,149.48,149.77,148.49
2021-08-23 15:00:00+00:00,149.48,149.89,149.94,149.42
2021-08-23 16:00:00+00:00,149.88,149.83,149.97,149.6
2021-08-23 17:00:00+00:00,149.83,149.91,150.15,149.64
2021-08-23 18:00:00+00:00,149.91,150.03,150.18,149.86
2021-08-23 19:00:00+00:00,150.03,149.7,150.1,149.58
2021-08-23 20:00:00+00:00,149.7,149.66,149.75,149.5
2021-08-23 21:00:00+00:00,149.68,149.71,149.72,149.66
2021-08-23 22:00:00+00:00,149.7,149.74,149.74,149.69
2021-08-24 04:00:00+00:00,150.38,149.72,150.38,149.71
2021-08-24 05:00:00+00:00,149.91,149.52,149.91,149.52
2021-08-24 06:00:00+00:00,149.55,149.99,149.99,149.52
2021-08-24 07:00:00+00:00,149.99,149.9,150.07,149.7
2021-08-24 08:00:00+00:00,149.9,149.95,150.1,149.88
2021-08-24 09:00:00+00:00,149.98,149.74,150.03,149.74
2021-08-24 10:00:00+00:00,149.71,149.71,149.82,149.6
2021-08-24 11:00:00+00:00,149.72,149.55,149.84,149.41
2021-08-24 12:00:00+00:00,149.56,149.49,149.62,149.32
2021-08-24 13:00:00+00:00,149.49,150.58,150.85,149.15
2021-08-24 14:00:00+00:00,150.58,149.99,150.72,149.93
2021-08-24 15:00:00+00:00,149.98,149.83,149.99,149.31
2021-08-24 16:00:00+00:00,149.82,149.56,149.92,149.52
2021-08-24 17:00:00+00:00,149.56,149.64,149.81,149.49
2021-08-24 18:00:00+00:00,149.65,149.74,149.77,149.5
2021-08-24 19:00:00+00:00,149.74,149.63,149.9,149.46
2021-08-24 20:00:00+00:00,149.62,149.63,149.67,149.53
2021-08-24 21:00:00+00:00,149.63,149.67,149.67,149.61
2021-08-24 22:00:00+00:00,149.65,149.64,149.66,149.63
2021-08-25 04:00:00+00:00,149.9,149.68,149.9,149.36
2021-08-25 05:00:00+00:00,149.69,149.71,149.79,149.5
2021-08-25 06:00:00+00:00,149.7,149.89,149.89,149.57
2021-08-25 07:00:00+00:00,149.89,149.92,150.15,149.76
2021-08-25 08:00:00+00:00,149.93,150.15,150.15,149.7
2021-08-25 09:00:00+00:00,150.15,150.1,150.15,149.94
2021-08-25 10:00:00+00:00,150.1,150.15,150.15,149.96
2021-08-25 11:00:00+00:00,150.05,149.82,150.15,149.66
2021-08-25 12:00:00+00:00,149.81,149.98,149.99,149.63
2021-08-25 13:00:00+00:00,149.99,149.32,150.31,149.15
2021-08-25 14:00:00+00:00,149.33,148.41,149.42,148.12
2021-08-25 15:00:00+00:00,148.4,148.25,148.72,148.18
2021-08-25 16:00:00+00:00,148.25,148.34,148.44,148.06
2021-08-25 17:00:00+00:00,148.35,147.86,148.37,147.8
2021-08-25 18:00:00+00:00,147.85,148.27,148.37,147.82
2021-08-25 19:00:00+00:00,148.26,148.37,148.74,148.22
2021-08-25 20:00:00+00:00,148.37,148.36,148.45,148.3
2021-08-25 21:00:00+00:00,148.36,148.35,148.44,148.31
2021-08-25 22:00:00+00:00,148.34,148.32,148.36,148.3
2021-08-26 04:00:00+00:00,147.91,148.49,148.6,147.9
2021-08-26 05:00:00+00:00,148.33,148.48,148.49,148.32
2021-08-26 06:00:00+00:00,148.48,148.25,148.7,148.21
2021-08-26 07:00:00+00:00,148.2,148.17,148.31,147.93
2021-08-26 08:00:00+00:00,148.17,148.05,148.31,147.96
2021-08-26 09:00:00+00:00,148.14,148.07,148.14,148.0
2021-08-26 10:00:00+00:00,148.1,148.1,148.14,148.02
2021-08-26 11:00:00+00:00,148.08,148.27,148.31,148.08
2021-08-26 12:00:00+00:00,148.27,148.32,148.58,148.11
2021-08-26 13:00:00+00:00,148.32,148.31,149.12,148.2
2021-08-26 14:00:00+00:00,148.3,148.02,148.72,147.72
2021-08-26 15:00:00+00:00,148.02,148.14,148.35,147.6
2021-08-26 16:00:00+00:00,148.14,148.34,148.64,148.13
2021-08-26 17:00:00+00:00,148.34,148.08,148.34,147.98
2021-08-26 18:00:00+00:00,148.09,147.74,148.09,147.71
2021-08-26 19:00:00+00:00,147.74,147.55,147.96,147.52
2021-08-26 20:00:00+00:00,147.54,147.59,147.6,147.5
2021-08-26 21:00:00+00:00,147.55,147.63,147.65,147.55
2021-08-26 22:00:00+00:00,147.64,147.6,147.66,147.55
2021-08-27 04:00:00+00:00,147.7,148.05,148.94,147.7
2021-08-27 05:00:00+00:00,148.29,148.31,148.34,148.04
2021-08-27 06:00:00+00:00,148.28,148.2,148.3,148.0
2021-08-27 07:00:00+00:00,148.2,148.31,148.38,148.13
2021-08-27 08:00:00+00:00,148.31,148.11,148.32,147.71
2021-08-27 09:00:00+00:00,148.11,148.29,148.29,147.9
2021-08-27 10:00:00+00:00,148.29,148.19,148.32,148.13
2021-08-27 11:00:00+00:00,148.18,148.03,148.26,147.9
2021-08-27 12:00:00+00:00,148.03,147.91,148.14,147.89
2021-08-27 13:00:00+00:00,147.91,147.18,147.98,146.84
2021-08-27 14:00:00+00:00,147.18,148.02,148.42,146.88
2021-08-27 15:00:00+00:00,148.02,148.51,148.52,147.77
2021-08-27 16:00:00+00:00,148.52,148.4,148.63,148.15
2021-08-27 17:00:00+00:00,148.4,148.67,148.75,148.34
2021-08-27 18:00:00+00:00,148.67,148.54,148.74,148.5
2021-08-27 19:00:00+00:00,148.54,148.59,148.67,148.39
2021-08-27 20:00:00+00:00,148.6,148.46,148.67,148.42
2021-08-27 21:00:00+00:00,148.46,148.47,148.49,148.41
2021-08-27 22:00:00+00:00,148.48,148.46,148.5,148.4
2021-08-30 04:00:00+00:00,148.5,148.9,148.9,148.5
2021-08-30 05:00:00+00:00,148.9,148.9,148.99,148.75
2021-08-30 06:00:00+00:00,148.78,148.7,148.99,148.47
2021-08-30 07:00:00+00:00,148.71,148.86,148.95,148.7
2021-08-30 08:00:00+00:00,148.86,148.7,148.86,148.62
2021-08-30 09:00:00+00:00,148.7,148.82,148.88,148.65
2021-08-30 10:00:00+00:00,148.82,148.93,149.06,148.72
2021-08-30 11:00:00+00:00,148.9,148.84,148.9,148.7
2021-08-30 12:00:00+00:00,148.81,148.86,148.93,148.74
2021-08-30 13:00:00+00:00,148.86,150.77,150.95,148.61
2021-08-30 14:00:00+00:00,150.78,151.91,152.13,150.78
2021-08-30 15:00:00+00:00,151.92,152.49,152.5,151.81
2021-08-30 16:00:00+00:00,152.49,152.98,153.11,152.13
2021-08-30 17:00:00+00:00,152.98,153.4,153.42,152.86
2021-08-30 18:00:00+00:00,153.41,153.05,153.49,152.82
2021-08-30 19:00:00+00:00,153.05,153.1,153.4,152.98
2021-08-30 20:00:00+00:00,153.08,152.97,153.21,152.96
2021-08-30 21:00:00+00:00,152.97,153.07,153.09,152.85
2021-08-30 22:00:00+00:00,153.08,153.0,153.14,153.0
2021-08-31 04:00:00+00:00,153.4,153.0,153.4,152.9
2021-08-31 05:00:00+00:00,153.17,153.17,153.17,153.0
2021-08-31 06:00:00+00:00,153.17,153.3,153.5,153.09
2021-08-31 07:00:00+00:00,153.3,153.44,153.68,153.3
2021-08-31 08:00:00+00:00,153.38,153.38,153.63,153.35
2021-08-31 09:00:00+00:00,153.38,153.1,153.45,153.07
2021-08-31 10:00:00+00:00,153.1,152.54,153.11,152.51
2021-08-31 11:00:00+00:00,152.6,152.75,152.88,152.54
2021-08-31 12:00:00+00:00,152.74,152.6,152.8,152.25
2021-08-31 13:00:00+00:00,152.61,151.53,152.98,151.49
2021-08-31 14:00:00+00:00,151.52,151.58,152.01,151.29
2021-08-31 15:00:00+00:00,151.59,152.11,152.31,151.56
2021-08-31 16:00:00+00:00,152.11,152.66,152.8,151.99
2021-08-31 17:00:00+00:00,152.67,152.36,152.74,152.06
2021-08-31 18:00:00+00:00,152.36,152.36,152.56,152.19
2021-08-31 19:00:00+00:00,152.36,151.83,152.46,151.55
2021-08-31 20:00:00+00:00,151.86,151.86,151.96,151.76
2021-08-31 21:00:00+00:00,151.86,151.92,151.93,151.85
2021-08-31 22:00:00+00:00,151.92,151.86,151.94,151.86
2021-09-01 04:00:00+00:00,151.96,152.3,152.4,151.83
2021-09-01 05:00:00+00:00,152.3,152.37,152.38,152.2
2021-09-01 06:00:00+00:00,152.38,152.39,152.45,152.12
2021-09-01 07:00:00+00:00,152.38,152.59,152.65,152.31
2021-09-01 08:00:00+00:00,152.5,152.01,152.53,151.9
2021-09-01 09:00:00+00:00,152.0,152.14,152.16,151.93
2021-09-01 10:00:00+00:00,152.14,152.26,152.26,152.08
2021-09-01 11:00:00+00:00,152.21,152.52,152.6,152.05
